,id,type,name,iso_country,latitude_deg,longitude_deg,elevation_ft,gps_code
11887,38868,small_airport,Henderson Airport,AR,-36.3147010803,-61.7477989197,492.0,
11888,38869,heliport,Hospital De Milagro Heliport,AR,-24.7731,-65.4156,4068.0,
11889,38870,heliport,Hospital Materno Infantil San Roque Heliport,AR,-31.73,-60.5217,265.0,
11890,38871,heliport,Hospital Municipal Heliport,AR,-34.4489,-59.4494,154.0,
11891,38872,heliport,Professor Juan P Garrahan National Pediatric Hospital Heliport,AR,-34.630983,-58.393916,127.0,
11892,38873,small_airport,Huanguelen Airport,AR,-37.0330543518,-61.934165954600005,518.0,
11893,38874,small_airport,Huinca Renanco Airport,AR,-34.8203010559,-64.3731002808,590.0,
11894,38875,small_airport,Ingeniero Luiggi Airport,AR,-35.3549995422,-64.4758300781,633.0,
11895,42803,small_airport,Agroservicio Doña Teresa Airport,AR,-28.8494,-62.2625,246.0,
11896,38877,small_airport,Establecimiento La Susana,AR,-34.909168,-59.348888,121.0,
11897,38878,small_airport,Intendente Alvear Airport,AR,-35.2592,-63.5328,416.0,
11898,38879,small_airport,Intendente Alvear,AR,-35.2494,-63.5342,416.0,
11899,45160,small_airport,Fumigaciones Herbinsec Airport,AR,-35.138611,-62.705278,366.0,
11900,38881,heliport,Isla Santa Mónica Heliport,AR,-34.4147,-58.5072,14.0,
11901,38882,small_airport,Don Hector Biondi Airport,AR,-33.2464,-62.4167,387.0,
11902,38883,small_airport,Italaviation Airport,AR,-29.1608,-59.1814,209.0,
11903,38884,small_airport,Jacinto Arauz Airport,AR,-38.066101074200006,-63.4282989502,524.0,
11904,38885,small_airport,Jardin De América Airport,AR,-27.032499,-55.198055,672.0,
11905,38886,small_airport,Jesús Maria Airport,AR,-30.9881000519,-64.0768966675,1738.0,
11906,38887,small_airport,Agropecuaria Rio Juramento Airport,AR,-25.1867008209,-64.0828018188,1184.0,
11907,38888,small_airport,Tres Lomas Airport,AR,-36.4439,-62.8792,380.0,
11908,38889,small_airport,Juan Carlos Bagur Airport,AR,-32.4186,-59.8158,190.0,
11909,38890,heliport,Juan Y Luci Heliport,AR,-32.6922,-64.7206,2404.0,
11910,38891,small_airport,Juarez Celman Airport,AR,-31.2113895416,-64.1613922119,1680.0,
